ts,ms_played,reason_start,reason_end,track,artist,album,uri,conn_country,date
2025-01-02 07:34:48-08:00,222946,playbtn,trackdone,in my head,Ariana Grande,"thank u, next",spotify:track:4T652DlATVHe0jdLKaN3Bw,CA,2025-01-02
2025-01-02 07:36:28-08:00,98381,trackdone,fwdbtn,Sue Me,Sabrina Carpenter,Singular Act I,spotify:track:3WVhkjB7Y4xFruqoCAajBb,CA,2025-01-02
2025-01-02 07:37:31-08:00,61672,fwdbtn,fwdbtn,Good In Goodbye,Madison Beer,Life Support,spotify:track:4y3g40TWe7fCWCayJZuGvw,CA,2025-01-02
2025-01-02 07:40:25-08:00,171573,fwdbtn,trackdone,needy,Ariana Grande,"thank u, next",spotify:track:1TEL6MlSSVLSdhOSddidlJ,CA,2025-01-02
2025-01-02 07:42:21-08:00,114809,trackdone,fwdbtn,Candy,Doja Cat,Amala,spotify:track:1VJwtWR6z7SpZRwipI12be,CA,2025-01-02
2025-01-02 07:46:08-08:00,223270,fwdbtn,trackdone,Selfish,Madison Beer,Life Support,spotify:track:5UY8jf31X2hJkiAualFTyh,CA,2025-01-02
2025-01-02 07:49:27-08:00,198866,trackdone,trackdone,making the bed,Olivia Rodrigo,GUTS,spotify:track:5CscrLqFBgPfZR8fGtikov,CA,2025-01-02
2025-01-02 07:52:56-08:00,208493,trackdone,trackdone,sweetener,Ariana Grande,Sweetener,spotify:track:70khXICDeTTxgYtw3EysKH,CA,2025-01-02
2025-01-02 07:56:35-08:00,211240,fwdbtn,trackdone,The Archer,Taylor Swift,Lover,spotify:track:3pHkh7d0lzM2AldUtz2x37,CA,2025-01-02
2025-01-02 07:58:15-08:00,92046,trackdone,logout,The Cut That Always Bleeds,Conan Gray,Kid Krow,spotify:track:7wTqEW5nrMhvyEhEyTnOMd,CA,2025-01-02
2025-01-02 11:45:53-08:00,140000,appload,trackdone,The Cut That Always Bleeds,Conan Gray,Kid Krow,spotify:track:7wTqEW5nrMhvyEhEyTnOMd,CA,2025-01-02
2025-01-02 11:47:41-08:00,60511,fwdbtn,logout,Love Is A Losing Game,Amy Winehouse,Back To Black,spotify:track:3uliGwmB52ZA7brgpZMzyH,CA,2025-01-02
2025-01-02 11:55:44-08:00,94977,appload,trackdone,Love Is A Losing Game,Amy Winehouse,Back To Black,spotify:track:3uliGwmB52ZA7brgpZMzyH,CA,2025-01-02
2025-01-02 11:57:51-08:00,113665,trackdone,logout,Be My Baby,The Ronettes,Presenting the Fabulous Ronettes Featuring Veronica,spotify:track:1WN4uNclrDuczTO3bCr8s1,CA,2025-01-02
2025-01-02 16:05:20-08:00,37384,fwdbtn,fwdbtn,Champagne Coast,Blood Orange,Coastal Grooves,spotify:track:2KufM8PiQY4i52XhRL96Fd,CA,2025-01-02
