ts,ms_played,track,artist,uri
2016-02,2604301,14,13,14
2016-03,26967509,83,53,131
2016-04,925526,5,4,5
2016-05,10926624,42,22,78
2016-06,15031417,44,24,84
2016-08,2588716,11,4,11
2016-11,2538235,17,15,17
2016-12,245805,3,3,3
2017-01,871369,3,3,6
2017-02,1203965,10,6,10
2017-03,6210986,32,9,37
2017-04,443063,4,1,4
2017-05,7409768,23,6,32
2017-06,5023277,26,7,26
2017-07,3307237,22,8,22
2017-08,13071178,65,47,69
2017-09,2565851,13,7,10
2017-10,1473213,7,3,6
2017-11,9439571,38,26,53
2017-12,33411029,50,30,175
2018-01,65372133,103,62,376
2018-02,34942207,92,60,201
2018-03,99710628,126,63,586
2018-04,104784074,149,75,572
2018-05,133414204,126,71,709
2018-06,102069933,151,84,536
2018-07,95749291,116,59,493
2018-08,102890480,56,30,508
2018-09,95628487,119,60,469
2018-10,117129303,94,57,577
2018-11,79207415,82,55,410
2018-12,78010294,77,42,346
2019-01,92477721,121,78,467
2019-02,73487829,80,49,359
2019-03,87436807,75,46,433
2019-04,72395968,114,61,376
2019-05,69180350,146,58,332
2019-06,102903815,113,63,533
2019-07,98035187,49,24,522
2019-08,110247715,64,30,590
2019-09,134488441,259,149,793
2019-10,115084668,254,174,699
2019-11,98685003,65,49,534
2019-12,93381199,286,131,561
2020-01,126978103,196,113,706
2020-02,106214283,110,54,601
2020-03,55701803,45,35,333
2020-04,13099026,41,30,80
2020-05,51963523,84,60,282
2020-06,39191498,54,38,203
2020-07,35289159,134,79,216
2020-08,41660050,101,63,215
2020-09,42422543,90,45,195
2020-10,30332578,79,50,166
2020-11,32103565,62,39,165
2020-12,40728339,56,35,195
2021-01,13547127,52,37,92
2021-02,14730933,71,43,102
2021-03,19052678,55,29,124
2021-04,80770845,127,59,480
2021-05,64929768,70,40,367
2021-06,129607048,262,79,747
2021-07,69803665,160,62,477
2021-08,109039143,195,72,618
2021-09,126815917,291,110,763
2021-10,197573797,405,119,1257
2021-11,117448996,301,111,692
2021-12,120705030,296,92,708
2022-01,208020599,452,132,1230
2022-02,210905114,443,136,1202
2022-03,227093777,464,125,1202
2022-04,119727455,339,102,705
2022-05,183209722,417,135,1002
2022-06,171643359,355,106,968
2022-07,225665849,482,161,1304
2022-08,145441414,357,106,718
2022-09,115555108,309,101,688
2022-10,140242972,319,109,857
2022-11,205584875,612,189,1141
2022-12,131531418,338,100,675
2023-01,168449160,461,139,898
2023-02,197214207,471,158,1098
2023-03,189043565,432,122,997
2023-04,197364451,342,91,1080
2023-05,229380525,428,99,1126
2023-06,191656268,550,160,1064
2023-07,149272312,275,66,708
2023-08,121047680,268,98,614
2023-09,127704243,214,63,662
2023-10,144551782,290,74,756
2023-11,146979981,321,82,746
2023-12,82186868,267,81,427
2024-01,179043247,378,104,853
2024-02,226205427,482,104,1154
2024-03,168261915,315,94,836
2024-04,156751323,466,145,809
2024-05,137372884,315,113,721
2024-06,157209822,434,140,802
2024-07,237397672,741,248,1280
2024-08,114413346,425,171,634
2024-09,82236780,241,102,450
2024-10,140377397,479,174,756
2024-11,96994569,307,96,517
2024-12,119712241,481,195,701
2025-01,105819008,410,115,596
2025-02,89384544,266,77,471
2025-03,114357834,456,111,646
2025-04,123853879,344,103,672
2025-05,108184973,237,98,566
2025-06,93066069,103,47,420
2025-07,114866898,133,64,568
2025-08,82728467,332,103,450
2025-09,65247921,174,71,328
2025-10,104545800,357,100,529
2025-11,82847636,244,91,380
2025-12,93200273,206,81,460
2026-01,64510618,263,89,348
2026-02,33859464,164,63,169
