,streak
"('Nettles', datetime.date(2025, 6, 26))",7
"('Some Protector', datetime.date(2025, 5, 30))",7
"('Favourite Daughter', datetime.date(2025, 7, 17))",6
"('Some Protector', datetime.date(2025, 5, 29))",6
"('Nettles', datetime.date(2025, 6, 25))",6
"('Current Affairs', datetime.date(2025, 7, 17))",6
"('GRWM', datetime.date(2025, 7, 16))",5
"('Headphones On', datetime.date(2025, 4, 25))",5
"('What Was That', datetime.date(2025, 7, 17))",5
"('David', datetime.date(2025, 7, 17))",5
"('Nettles', datetime.date(2025, 7, 6))",5
"('Hammer', datetime.date(2025, 7, 17))",5
"('Man Of The Year', datetime.date(2025, 6, 30))",5
"('Shapeshifter', datetime.date(2025, 7, 1))",5
"('Man Of The Year', datetime.date(2025, 7, 16))",5
"('Best Guess', datetime.date(2025, 3, 28))",5
"('Clearblue', datetime.date(2025, 7, 1))",5
"('If She Could See Me Now', datetime.date(2025, 7, 17))",5
"('Current Affairs', datetime.date(2025, 7, 1))",5
"('Favourite Daughter', datetime.date(2025, 7, 1))",5
"('Broken Glass', datetime.date(2025, 7, 17))",5
"('Greedy', datetime.date(2025, 2, 15))",5
"('Nettles', datetime.date(2025, 6, 24))",5
"('Current Affairs', datetime.date(2025, 7, 16))",5
"('Wonderful', datetime.date(2025, 11, 27))",5
"('Clearblue', datetime.date(2025, 7, 16))",5
"('Some Protector', datetime.date(2025, 5, 28))",5
"('Favourite Daughter', datetime.date(2025, 7, 16))",5
