album,artist,date,ms_played,uri,h
eternal sunshine,Ariana Grande,116,79835852,475,22.2
Virgin,Lorde,41,50745864,307,14.1
"Willoughby Tucker, I'll Always Love You",Ethel Cain,48,47345582,121,13.2
Calico,Ryan Beatty,35,30640914,153,8.5
Kansas Anymore,ROLE MODEL,95,27897845,146,7.7
CHROMAKOPIA,"Tyler, The Creator",48,25338168,130,7.0
Addison,Addison Rae,68,24436902,156,6.8
Backflips in a Restaurant,grentperez,40,23122957,137,6.4
Charm,Clairo,68,22913168,126,6.4
Forever Is A Feeling,Lucy Dacus,61,22224294,133,6.2
Short n' Sweet,Sabrina Carpenter,72,20335562,128,5.6
emails i can't send,Sabrina Carpenter,68,14829150,94,4.1
Preacher’s Daughter,Ethel Cain,33,14685639,47,4.1
GUTS,Olivia Rodrigo,55,14544393,83,4.0
The Secret of Us,Gracie Abrams,52,13812859,88,3.8
The Life of a Showgirl,Taylor Swift,13,13591655,74,3.8
The Rise and Fall of a Midwest Princess,Chappell Roan,54,13402433,79,3.7
Wicked: The Soundtrack,Cynthia Erivo,23,13067979,39,3.6
Dangerous Woman,Ariana Grande,42,12880775,72,3.6
"Sincerely,",Kali Uchis,34,12727353,59,3.5
Blonde,Frank Ocean,36,12067136,64,3.4
emails i can’t send,Sabrina Carpenter,53,12051085,83,3.3
This Is How Tomorrow Moves,beabadoobee,35,11990246,72,3.3
SOS Deluxe: LANA,SZA,56,11831932,72,3.3
"thank u, next",Ariana Grande,42,11115861,57,3.1
DON'T TAP THE GLASS,"Tyler, The Creator",19,11053532,66,3.1
Wicked: For Good – The Soundtrack,Cynthia Erivo,24,10681101,49,3.0
Who's the Clown?,Audrey Hobert,32,9573603,60,2.7
Home Video,Lucy Dacus,38,9532232,48,2.6
GNX,Kendrick Lamar,31,9011782,49,2.5
Solar Power,Lorde,14,8161940,39,2.3
Sheryl Crow,Sheryl Crow,29,7982238,41,2.2
Punisher,Phoebe Bridgers,29,7780315,37,2.2
the record,boygenius,23,7556612,41,2.1
The Subway,Chappell Roan,24,7466896,27,2.1
Sweetener,Ariana Grande,50,7296333,57,2.0
Sincerely,Kali Uchis,33,6629501,36,1.8
"Henry, come on",Lana Del Rey,24,6195530,28,1.7
channel ORANGE,Frank Ocean,24,6118298,28,1.7
Mariah Carey,Mariah Carey,23,5990182,28,1.7
Grace,Jeff Buckley,20,5989259,27,1.7
The Divine Feminine,Mac Miller,28,5894039,32,1.6
how i'm feeling now,Charli xcx,24,5867184,29,1.6
Same Trailer Different Park,Kacey Musgraves,27,5726105,32,1.6
THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,17,5681829,30,1.6
Wicked: For Good – The Soundtrack,Wicked Movie Cast,22,5588625,31,1.6
Let’s Start Here.,Lil Yachty,26,5507875,30,1.5
The Shepherd's Dog,Iron & Wine,23,5505185,24,1.5
Dreaming of David,Ryan Beatty,6,5372071,27,1.5
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,18,5357999,21,1.5
