,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
"Tyler, The Creator",2.0,1.0,10.0,11.0,27.0,24.0,4.0,13.0,13.0,22.0,7.0,9.0
Frank Ocean,5.0,9.0,13.0,18.0,19.0,35.0,27.0,23.0,40.0,,31.0,17.0
Kendrick Lamar,11.0,7.0,15.0,19.0,23.0,,32.0,32.0,,,,
Kali Uchis,31.0,45.0,,12.0,3.0,9.0,8.0,18.0,18.0,21.0,16.0,23.0
Ariana Grande,1.0,2.0,1.0,1.0,1.0,4.0,2.0,20.0,7.0,13.0,4.0,2.0
Lorde,36.0,24.0,27.0,3.0,2.0,2.0,1.0,7.0,6.0,14.0,,
SZA,7.0,12.0,9.0,9.0,17.0,30.0,26.0,,23.0,50.0,,18.0
Taylor Swift,6.0,6.0,5.0,31.0,4.0,18.0,,12.0,17.0,1.0,2.0,4.0
Olivia Rodrigo,12.0,13.0,12.0,28.0,30.0,,,,,23.0,9.0,6.0
Phoebe Bridgers,20.0,38.0,17.0,21.0,,,,9.0,19.0,12.0,38.0,13.0
boygenius,26.0,,22.0,26.0,34.0,,,8.0,10.0,8.0,21.0,19.0
Lana Del Rey,16.0,14.0,26.0,17.0,15.0,15.0,15.0,15.0,27.0,20.0,6.0,21.0
beabadoobee,9.0,11.0,8.0,5.0,,27.0,33.0,,24.0,41.0,,
Clairo,4.0,4.0,7.0,7.0,20.0,17.0,18.0,10.0,14.0,9.0,25.0,25.0
The 1975,,,,,,,,,,7.0,19.0,26.0
Sheryl Crow,,,,,,5.0,11.0,,26.0,44.0,40.0,47.0
Ryan Beatty,,,,,,,,4.0,1.0,2.0,15.0,1.0
Sabrina Carpenter,3.0,3.0,4.0,6.0,9.0,8.0,7.0,17.0,5.0,5.0,5.0,5.0
Kacey Musgraves,,,,,18.0,10.0,9.0,16.0,21.0,27.0,22.0,37.0
Ethel Cain,19.0,,36.0,47.0,,1.0,3.0,3.0,2.0,3.0,1.0,11.0
Lucy Dacus,14.0,33.0,3.0,4.0,6.0,14.0,12.0,1.0,15.0,15.0,26.0,39.0
grentperez,,,2.0,2.0,7.0,13.0,10.0,33.0,16.0,43.0,24.0,
Gracie Abrams,10.0,8.0,6.0,20.0,14.0,22.0,14.0,11.0,11.0,16.0,13.0,16.0
Chappell Roan,17.0,10.0,16.0,14.0,24.0,,35.0,5.0,8.0,11.0,11.0,8.0
Addison Rae,,27.0,45.0,8.0,8.0,3.0,5.0,14.0,4.0,10.0,8.0,10.0
ROLE MODEL,38.0,32.0,,10.0,5.0,6.0,6.0,2.0,3.0,4.0,12.0,14.0
Cynthia Erivo,8.0,5.0,40.0,40.0,13.0,20.0,30.0,,20.0,,3.0,3.0
Wicked Movie Cast,21.0,23.0,,,29.0,,,,,,14.0,7.0
Audrey Hobert,,,,,10.0,16.0,25.0,6.0,9.0,19.0,34.0,20.0
Andrea Bocelli,,,,,,7.0,43.0,,,,,
Ryan Harris,,,,,,,,,,6.0,,
Jeff Goldblum,,,,,,,,,,,10.0,12.0
