artist,artist,track,uri
Ariana Grande,Ariana Grande,twilight zone,53
Ariana Grande,Ariana Grande,Hampstead,51
Ariana Grande,Ariana Grande,dandelion,51
Ariana Grande,Ariana Grande,Greedy,44
Ariana Grande,Ariana Grande,intro (end of the world) - extended,28
Ethel Cain,Ethel Cain,Nettles,83
Ethel Cain,Ethel Cain,American Teenager,21
Ethel Cain,Ethel Cain,Sun Bleached Flies,13
Lorde,Lorde,What Was That,54
Lorde,Lorde,Man Of The Year,53
Lorde,Lorde,Favourite Daughter,28
Lorde,Lorde,If She Could See Me Now,26
Lorde,Lorde,David,25
Sabrina Carpenter,Sabrina Carpenter,Busy Woman,38
Sabrina Carpenter,Sabrina Carpenter,bet u wanna,30
Sabrina Carpenter,Sabrina Carpenter,Vicious,29
Sabrina Carpenter,Sabrina Carpenter,Lonesome,21
Sabrina Carpenter,Sabrina Carpenter,Juno,14
"Tyler, The Creator","Tyler, The Creator","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",30
"Tyler, The Creator","Tyler, The Creator",Balloon (feat. Doechii),28
"Tyler, The Creator","Tyler, The Creator",Don't Tap That Glass / Tweakin',16
"Tyler, The Creator","Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),11
"Tyler, The Creator","Tyler, The Creator",St. Chroma (feat. Daniel Caesar),10
